"","fold","prediction","actual","file_path","bag","img"
"1",0,0.023398595,1,"1\img14\img14-xpos102-ypos435-epithelial.bmp",1,"img14"
"2",0,0.074368298,1,"1\img14\img14-xpos102-ypos452-epithelial.bmp",1,"img14"
"3",0,0.151665285,1,"1\img14\img14-xpos104-ypos252-epithelial.bmp",1,"img14"
"4",0,0.087363519,1,"1\img14\img14-xpos105-ypos322-epithelial.bmp",1,"img14"
"5",0,0.035509683,1,"1\img14\img14-xpos107-ypos292-epithelial.bmp",1,"img14"
"6",0,0.11439658,1,"1\img14\img14-xpos110-ypos371-epithelial.bmp",1,"img14"
"7",0,0.029729605,1,"1\img14\img14-xpos111-ypos210-epithelial.bmp",1,"img14"
"8",0,0.025853526,1,"1\img14\img14-xpos111-ypos310-epithelial.bmp",1,"img14"
"9",0,0.046473738,1,"1\img14\img14-xpos113-ypos337-epithelial.bmp",1,"img14"
"10",0,0.05742567,1,"1\img14\img14-xpos115-ypos266-epithelial.bmp",1,"img14"
"11",0,0.201141208,1,"1\img14\img14-xpos117-ypos320-epithelial.bmp",1,"img14"
"12",0,0.145407826,1,"1\img14\img14-xpos121-ypos447-epithelial.bmp",1,"img14"
"13",0,0.003791006,0,"1\img14\img14-xpos123-ypos72-inflammatory.bmp",1,"img14"
"14",0,0.058575392,1,"1\img14\img14-xpos124-ypos345-epithelial.bmp",1,"img14"
"15",0,0.109816551,1,"1\img14\img14-xpos124-ypos376-epithelial.bmp",1,"img14"
"16",0,0.062577479,1,"1\img14\img14-xpos125-ypos278-epithelial.bmp",1,"img14"
"17",0,0.023011612,1,"1\img14\img14-xpos127-ypos252-epithelial.bmp",1,"img14"
"18",0,0.042659115,1,"1\img14\img14-xpos129-ypos396-epithelial.bmp",1,"img14"
"19",0,0.044536661,1,"1\img14\img14-xpos130-ypos297-epithelial.bmp",1,"img14"
"20",0,0.23251532,1,"1\img14\img14-xpos132-ypos439-epithelial.bmp",1,"img14"
"21",0,0.018984446,0,"1\img14\img14-xpos133-ypos16-inflammatory.bmp",1,"img14"
"22",0,0.133710891,1,"1\img14\img14-xpos133-ypos456-epithelial.bmp",1,"img14"
"23",0,0.035115123,1,"1\img14\img14-xpos134-ypos266-epithelial.bmp",1,"img14"
"24",0,0.032875109,1,"1\img14\img14-xpos138-ypos379-epithelial.bmp",1,"img14"
"25",0,0.110199742,1,"1\img14\img14-xpos14-ypos90-epithelial.bmp",1,"img14"
"26",0,0.104643561,1,"1\img14\img14-xpos141-ypos289-epithelial.bmp",1,"img14"
"27",0,0.310797662,1,"1\img14\img14-xpos142-ypos406-epithelial.bmp",1,"img14"
"28",0,0.267000377,1,"1\img14\img14-xpos145-ypos447-epithelial.bmp",1,"img14"
"29",0,0.463007778,1,"1\img14\img14-xpos148-ypos331-epithelial.bmp",1,"img14"
"30",0,0.111885458,1,"1\img14\img14-xpos148-ypos466-epithelial.bmp",1,"img14"
"31",0,0.152284548,1,"1\img14\img14-xpos153-ypos359-epithelial.bmp",1,"img14"
"32",0,0.135073438,1,"1\img14\img14-xpos153-ypos389-epithelial.bmp",1,"img14"
"33",0,0.001671867,0,"1\img14\img14-xpos154-ypos98-inflammatory.bmp",1,"img14"
"34",0,0.299797088,1,"1\img14\img14-xpos155-ypos478-epithelial.bmp",1,"img14"
"35",0,0.285722196,1,"1\img14\img14-xpos156-ypos316-epithelial.bmp",1,"img14"
"36",0,0.109727643,1,"1\img14\img14-xpos157-ypos288-epithelial.bmp",1,"img14"
"37",0,0.218247294,1,"1\img14\img14-xpos158-ypos411-epithelial.bmp",1,"img14"
"38",0,0.001164339,0,"1\img14\img14-xpos160-ypos109-inflammatory.bmp",1,"img14"
"39",0,0.07002233,1,"1\img14\img14-xpos161-ypos343-epithelial.bmp",1,"img14"
"40",0,0.026884159,1,"1\img14\img14-xpos161-ypos383-epithelial.bmp",1,"img14"
"41",0,0.166056663,1,"1\img14\img14-xpos161-ypos400-epithelial.bmp",1,"img14"
"42",0,0.109791361,1,"1\img14\img14-xpos165-ypos367-epithelial.bmp",1,"img14"
"43",0,0.234973937,1,"1\img14\img14-xpos167-ypos459-epithelial.bmp",1,"img14"
"44",0,0.162534386,1,"1\img14\img14-xpos170-ypos315-epithelial.bmp",1,"img14"
"45",0,0.344474018,1,"1\img14\img14-xpos174-ypos283-epithelial.bmp",1,"img14"
"46",0,0.014623783,0,"1\img14\img14-xpos175-ypos47-fibroblast.bmp",1,"img14"
"47",0,0.110602051,1,"1\img14\img14-xpos176-ypos361-epithelial.bmp",1,"img14"
"48",0,0.043710075,1,"1\img14\img14-xpos182-ypos301-epithelial.bmp",1,"img14"
